name,gradeLevel,formattedAddress,latitude,longitude,neighbourhood,zipcode
Michael Brown,2,"830 High Street, Portsmouth, New Hampshire 03801, United States",43.079056,-70.75992,North End,03801
Michael Kim,2,"Fernald Court, Portsmouth, New Hampshire 03801, United States",43.069881,-70.7488905,Little Harbor,03801
Oliver Green,2,"Parker Street, Portsmouth, New Hampshire 03801, United States",43.0755905,-70.76288,Islington Creek,03801
Hannah Smith,4,"433 Islington Street, Portsmouth, New Hampshire 03801, United States",43.072457,-70.767977,Islington Creek,03801
Lily Scott,4,"Adams Avenue, Portsmouth, New Hampshire 03801, United States",43.037709,-70.7667475,Elwyn Park,03801
Isaac Green,0,"876 Middle Street, Portsmouth, New Hampshire 03801, United States",43.064597,-70.76728,Lafayette Park,03801
Julia Turner,2,"Granite Street, Portsmouth, New Hampshire 03801, United States",43.0855095,-70.7863505,Frank Jones Farm,03801
Isaac Hill,4,"345 Richards Avenue, Portsmouth, New Hampshire 03801, United States",43.068885,-70.75851,Richards Avenue Area,03801
Charlie Johnson,4,"Spinney Road, Portsmouth, New Hampshire 03801, United States",43.0645575,-70.77424,Lafayette Park,03801
Rachel Baker,2,"Lincoln Avenue, Portsmouth, New Hampshire 03801, United States",43.0679975,-70.7610185,Lincoln,03801
Daisy Wilson,2,"194 Echo Avenue, Portsmouth, New Hampshire 03801, United States",43.082727,-70.79035,Frank Jones Farm,03801
Hannah Hill,4,"Willard Avenue, Portsmouth, New Hampshire 03801, United States",43.0642175,-70.7653895,Wibird Area,03801
Fiona Scott,2,"Salter Street, Portsmouth, New Hampshire 03801, United States",43.0725,-70.74937,South End,03801
Oliver Scott,2,"Echo Avenue, Portsmouth, New Hampshire 03801, United States",43.0837015,-70.7889985,Frank Jones Farm,03801
Alice Harris,5,"Deer Street, Portsmouth, New Hampshire 03801, United States",43.078175,-70.760861,North End,03801
Tina Allen,4,"1293 Union Street, Manchester, New Hampshire 03104, United States",43.020028,-71.462273,North End,03104
Michael Adams,0,"Austin Street, Portsmouth, New Hampshire 03801, United States",43.07178,-70.76416,Goodwin Park,03801
Oliver Adams,5,"Gardner Street, Portsmouth, New Hampshire 03801, United States",43.074546,-70.7508,South End,03801
Tina Clark,4,"Rockland Street, Portsmouth, New Hampshire 03801, United States",43.069858,-70.759441,Richards Avenue Area,03801
Tina Clark,1,"Cass Street, Portsmouth, New Hampshire, United States",43.0701,-70.76919,Cass Street,03801
Alice Reed,5,"Brewster Street, Portsmouth, New Hampshire 03801, United States",43.07469,-70.7647515,Islington Creek,03801
Julia White,1,"Greenleaf Avenue, Portsmouth, New Hampshire 03801, United States",43.05608,-70.7740335681818,Portsmouth Plains,03801
Oliver Garcia,2,"Pinehurst Road, Portsmouth, New Hampshire 03801, United States",43.06348,-70.7591115,Broad Street,03801
Lily Smith,5,"Gardner Street, Portsmouth, New Hampshire 03801, United States",43.074546,-70.7508,South End,03801
Fiona Garcia,1,"Marcy Street, Portsmouth, New Hampshire 03801, United States",43.0737915,-70.751238,South End,03801
Isaac Turner,3,"Austin Street, Portsmouth, New Hampshire 03801, United States",43.07178,-70.76416,Goodwin Park,03801
Hannah Scott,0,"Pinehurst Road, Portsmouth, New Hampshire 03801, United States",43.06348,-70.7591115,Broad Street,03801
Lily Clark,4,"Marcy Street, Portsmouth, New Hampshire 03801, United States",43.0737915,-70.751238,South End,03801
Daisy Davis,0,"1014 Miller Avenue, Portsmouth, New Hampshire 03801, United States",43.066208,-70.758006,Lincoln,03801
Tina Baker,1,"Gardner Street, Portsmouth, New Hampshire 03801, United States",43.074546,-70.7508,South End,03801
Isaac Wilson,0,"Adams Avenue, Portsmouth, New Hampshire 03801, United States",43.037709,-70.7667475,Elwyn Park,03801
Nancy Allen,0,"29 Miller Avenue, Portsmouth, New Hampshire 03801, United States",43.07106,-70.76164,Lincoln,03801
Lily Green,2,"77 Peverly Hill Road, Portsmouth, New Hampshire 03801, United States",43.055502,-70.780595,Portsmouth Plains,03801
George Turner,2,"Whipple Street, Portsmouth, New Hampshire 03801, United States",43.0752045,-70.7757859,Christian Shore,03801
Kevin Miller,2,"Parker Street, Portsmouth, New Hampshire 03801, United States",43.0755905,-70.76288,Islington Creek,03801
Paula Allen,2,"Lincoln Avenue, Portsmouth, New Hampshire 03801, United States",43.0679975,-70.7610185,Lincoln,03801
George Wilson,3,"Hancock Street, Portsmouth, New Hampshire 03801, United States",43.07497,-70.7528205,South End,03801
Lily Turner,4,"219 Richards Avenue, Portsmouth, New Hampshire 03801, United States",43.071155,-70.760125,Richards Avenue Area,03801
Hannah Hill,5,"227 Cabot Street, Portsmouth, New Hampshire 03801, United States",43.073077,-70.766493,Islington Creek,03801
Quincy Scott,2,"Rockland Street, Portsmouth, New Hampshire 03801, United States",43.069858,-70.759441,Richards Avenue Area,03801
Rachel Allen,2,"Kane Street, Portsmouth, New Hampshire 03801, United States",43.0784705,-70.7714085,Christian Shore,03801
Daisy Johnson,4,"413 Austin Street, Portsmouth, New Hampshire 03801, United States",43.070501,-70.766219,Goodwin Park,03801
Michael Lee,2,"Langdon Street, Portsmouth, New Hampshire 03801, United States",43.074516,-70.7653624344262,Islington Creek,03801
Isaac Harris,2,"Cabot Street, Portsmouth, New Hampshire 03801, United States",43.072342,-70.7652100192308,Goodwin Park,03801
Hannah Miller,0,"Thornton Street, Portsmouth, New Hampshire 03801, United States",43.0753285,-70.77354,Christian Shore,03801
Sam Reed,1,"Brackett Lane, Portsmouth, New Hampshire 03801, United States",43.068337,-70.754319,Little Harbor,03801
Oliver Johnson,0,"679 Spinney Road, Portsmouth, New Hampshire 03801, United States",43.062958,-70.773207,Lafayette Park,03801
Alice Lee,5,"Salter Street, Portsmouth, New Hampshire 03801, United States",43.0725,-70.74937,South End,03801
Paula Clark,3,"Brewster Street, Portsmouth, New Hampshire 03801, United States",43.07469,-70.7647515,Islington Creek,03801
Nancy Clark,5,"358 Hanover Street, Manchester, New Hampshire 03104, United States",42.990939,-71.451809,Corey Square,03104
Nancy Green,4,"Leslie Drive, Portsmouth, New Hampshire 03801, United States",43.0825105,-70.7696875,Cutts Cove,03801
Alice Baker,2,"Parker Street, Portsmouth, New Hampshire 03801, United States",43.0755905,-70.76288,Islington Creek,03801
Paula Baker,2,"Pinehurst Road, Portsmouth, New Hampshire 03801, United States",43.06348,-70.7591115,Broad Street,03801
Michael Johnson,5,"Congress Street, Portsmouth, New Hampshire 03801, United States",43.076422,-70.759307,Downtown,03801
Oliver Adams,4,"971 Hanover Street, Manchester, New Hampshire 03104, United States",42.987432,-71.423475,Eaton Heights,03104
Kevin Harris,3,"Daniel Street, Portsmouth, New Hampshire 03801, United States",43.077515,-70.7554332816901,Downtown,03801
Kevin Adams,4,"Cabot Street, Portsmouth, New Hampshire 03801, United States",43.072342,-70.7652100192308,Goodwin Park,03801
Bob Davis,3,"Whipple Street, Portsmouth, New Hampshire 03801, United States",43.0752045,-70.7757859,Christian Shore,03801
Fiona Turner,3,"New Castle Avenue, Portsmouth, New Hampshire 03801, United States",43.070468,-70.745669,Little Harbor,03801
Bob Wilson,3,"539 Wibird Street, Portsmouth, New Hampshire 03801, United States",43.064242,-70.762647,Wibird Area,03801
Julia Hill,0,"Hancock Street, Portsmouth, New Hampshire 03801, United States",43.07497,-70.7528205,South End,03801
Hannah Adams,2,"Rockland Street, Portsmouth, New Hampshire 03801, United States",43.069858,-70.759441,Richards Avenue Area,03801
Paula Hill,1,"78 Spinney Road, Portsmouth, New Hampshire 03801, United States",43.066191,-70.77471,Lafayette Park,03801
Hannah Miller,2,"883 Granite Street, Manchester, New Hampshire 03102, United States",42.982902,-71.480013,Piscataquog,03102
George Wilson,0,"Pinehurst Road, Portsmouth, New Hampshire 03801, United States",43.06348,-70.7591115,Broad Street,03801
George Harris,4,"882 Hanover Street, Portsmouth, New Hampshire 03801, United States",43.07483,-70.76457,Islington Creek,03801
Hannah Brown,4,"Salter Street, Portsmouth, New Hampshire 03801, United States",43.0725,-70.74937,South End,03801
Tina Allen,2,"Pinehurst Road, Portsmouth, New Hampshire 03801, United States",43.06348,-70.7591115,Broad Street,03801
Paula Kim,3,"1707 Hanover Street, Manchester, New Hampshire 03104, United States",42.989832,-71.407034,Youngsville,03104
George Harris,2,"Bartlett Street, Portsmouth, New Hampshire 03801, United States",43.073191,-70.774605,Christian Shore,03801
Nancy White,5,"Freedom Circle, Portsmouth, New Hampshire 03801, United States",43.03016,-70.79462,Maplehaven,03801
Quincy Turner,4,"Farm Lane, Portsmouth, New Hampshire 03801, United States",43.078808,-70.785036,Frank Jones Farm,03801
Oliver Johnson,2,"Middle Road, Portsmouth, New Hampshire 03801, United States",43.060628,-70.776629,Portsmouth Plains,03801
Paula Clark,4,"Hancock Street, Portsmouth, New Hampshire 03801, United States",43.07497,-70.7528205,South End,03801
Tina Kim,4,"179 Peverly Hill Road, Portsmouth, New Hampshire 03801, United States",43.055841,-70.780881,Portsmouth Plains,03801
Kevin Allen,0,"Madison Street, Portsmouth, New Hampshire 03801, United States",43.07045,-70.765807,Goodwin Park,03801
Hannah Kim,0,"227 Lincoln Avenue, Portsmouth, New Hampshire 03801, United States",43.069019,-70.758588,Richards Avenue Area,03801
Oliver Miller,2,"1073 Granite Street, Manchester, New Hampshire 03102, United States",42.982858,-71.480043,Piscataquog,03102
Sam Kim,5,"Pinehurst Road, Portsmouth, New Hampshire 03801, United States",43.06348,-70.7591115,Broad Street,03801
Ethan Brown,5,"Austin Street, Portsmouth, New Hampshire 03801, United States",43.07178,-70.76416,Goodwin Park,03801
Paula Johnson,5,"Richards Avenue, Portsmouth, New Hampshire 03801, United States",43.0698125,-70.7593955,Richards Avenue Area,03801
Ethan White,4,"1033 Ledgewood Road, Manchester, New Hampshire 03104, United States",43.018992,-71.455474,North End,03104
Tina Baker,0,"Freedom Circle, Portsmouth, New Hampshire 03801, United States",43.03016,-70.79462,Maplehaven,03801
Daisy Adams,5,"386 High Street, Portsmouth, New Hampshire 03801, United States",43.079004,-70.759858,Downtown,03801
Charlie Hill,3,"Adams Avenue, Portsmouth, New Hampshire 03801, United States",43.037709,-70.7667475,Elwyn Park,03801
Hannah Allen,1,"Farm Lane, Portsmouth, New Hampshire 03801, United States",43.078808,-70.785036,Frank Jones Farm,03801
Julia Kim,0,"Marcy Street, Portsmouth, New Hampshire 03801, United States",43.0737915,-70.751238,South End,03801
Oliver Davis,2,"199 Spinney Road, Portsmouth, New Hampshire 03801, United States",43.064527,-70.77479,Lafayette Park,03801
